char,id
嚼,1910
卸,1911
瞪,1912
榭,1913
驳,1914
寻,1915
谎,1916
堪,1917
寿,1918
驻,1919
妄,1920
敲,1921
虎,1922
浩,1923
摔,1924
辞,1925
肥,1926
探,1927
雄,1928
盟,1929
喵,1930
〔,1931
〕,1932
泰,1933
散,1934
替,1935
锤,1936
該,1937
噗,1938
贯,1939
仙,1940
削,1941
著,1942
猫,1943
咪,1944
柳,1945
攒,1946
艺,1947
篇,1948
劫,1949
粒,1950
忐,1951
忑,1952
馨,1953
暖,1954
衍,1955
钩,1956
删,1957
阳,1958
贪,1959
鹏,1960
杨,1961
內,1962
脱,1963
怂,1964
聽,1965
說,1966
泸,1967
疾,1968
厘,1969
